department_code,department_name,school,city,website,active,notes
DIPAE_OIK_001,Τμήμα Διοίκησης Εφοδιαστικής Αλυσίδας,Σχολή Οικονομίας και Διοίκησης,Κατερίνη,,1,
DIPAE_OIK_002,Τμήμα Διοίκησης Οργανισμών Μάρκετινγκ και Τουρισμού,Σχολή Οικονομίας και Διοίκησης,Θεσσαλονίκη,,1,
DIPAE_OIK_003,Τμήμα Λογιστικής και Πληροφοριακών Συστημάτων,Σχολή Οικονομίας και Διοίκησης,Θεσσαλονίκη,,1,
DIPAE_OIK_004,Τμήμα Οικονομικών Επιστημών,Σχολή Οικονομίας και Διοίκησης,Σέρρες,https://www.es.ihu.gr/,1,
DIPAE_OIK_005,Τμήμα Οργάνωσης και Διοίκησης Επιχειρήσεων,Σχολή Οικονομίας και Διοίκησης,Σέρρες,,1,
DIPAE_KOIN_001,Τμήμα Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία,Σχολή Κοινωνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_KOIN_002,Τμήμα Βιβλιοθηκονομίας Αρχειονομίας και Συστημάτων Πληροφόρησης,Σχολή Κοινωνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_YGEIA_001,Τμήμα Βιοϊατρικών Επιστημών,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_002,Τμήμα Επιστημών Διατροφής και Διαιτολογίας,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_003,Τμήμα Μαιευτικής,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_004,Τμήμα Νοσηλευτικής,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_YGEIA_005,Τμήμα Φυσικοθεραπείας,Σχολή Επιστημών Υγείας,Θεσσαλονίκη,,1,
DIPAE_POL_001,Τμήμα Μηχανολόγων Μηχανικών,Πολυτεχνική Σχολή,Σέρρες,,1,
DIPAE_POL_002,Τμήμα Μηχανικών Πληροφορικής Υπολογιστών και Τηλεπικοινωνιών,Πολυτεχνική Σχολή,Σέρρες,,1,
DIPAE_POL_003,Τμήμα Μηχανικών Περιβάλλοντος,Πολυτεχνική Σχολή,Θεσσαλονίκη,,1,
DIPAE_POL_004,Τμήμα Μηχανικών Παραγωγής και Διοίκησης,Πολυτεχνική Σχολή,Θεσσαλονίκη,https://www.iem.ihu.gr/,1,
DIPAE_POL_005,Τμήμα Μηχανικών Πληροφορικής και Ηλεκτρονικών Συστημάτων,Πολυτεχνική Σχολή,Θεσσαλονίκη,https://www.iee.ihu.gr/,1,
DIPAE_MICH_001,Τμήμα Μηχανικών Τοπογραφίας και Γεωπληροφορικής,Σχολή Μηχανικών,Σέρρες,,1,
DIPAE_MICH_002,Τμήμα Πολιτικών Μηχανικών,Σχολή Μηχανικών,Σέρρες,,1,
DIPAE_SCHED_001,Τμήμα Δημιουργικού Σχεδιασμού και Ένδυσης,Σχολή Επιστημών Σχεδιασμού,Κιλκίς,,1,
DIPAE_SCHED_002,Τμήμα Εσωτερικής Αρχιτεκτονικής,Σχολή Επιστημών Σχεδιασμού,Σέρρες,,1,
DIPAE_GEO_001,Τμήμα Γεωπονίας,Σχολή Γεωτεχνικών Επιστημών,Θεσσαλονίκη,,1,
DIPAE_GEO_002,Τμήμα Επιστήμης και Τεχνολογίας Τροφίμων,Σχολή Γεωτεχνικών Επιστημών,Θεσσαλονίκη,,1,